0,1,2,3,4,5,6,7
Melbourne P. Smith,23-Nov-1921,Heavy Weather,Barbados,Sails damaged,January 1922,31,
Perry Seltzer,23-Nov-1921,Slipped on Blocks,"Providence, Rhode Island",Strained,January 1922,31,
Prentiss,23-Nov-1921,Collision,San  Francisco Bar,Undamaged,January 1922,31,
Silver Star,23-Nov-1921,Ashore,Harbor Grace,Total loss,January 1922,31,
Thomas P. Beal,23-Nov-1921,Collision,Boston,Damage to plate,January 1922,31,
Kenwood,24-Nov-1921,Disabled,Hampton Roads,Leaking,January 1922,30,
Lake Elsah,24-Nov-1921,Disabled,Jacksonville,Propeller Damaged,January 1922,30,
Martha,24-Nov-1921,Disabled,Off Humboldt,Machinery disabled,January 1922,30,
Nordamerika,25-Nov-1921,Ashore,Princess Bay,Not Stated,January 1922,31,
Haugland,26-Nov-1921,Shipped Water,Christiansand,Water in hold,January 1922,30,
Marguerite,26-Nov-1921,On Ledges,Harrington Cove,Total loss,January 1922,31,
Panhandle State,26-Nov-1921,Fire,Off New York,Slight Damage,January 1922,31,
Samuel Mather,26-Nov-1921,On Shoal,Round Island,Undamaged,January 1922,31,
Simaloer,26-Nov-1921,Disabled,Yokohama,Steerer disabled,January 1922,31,
Stanley Joseph,26-Nov-1921,Gale,At Sea,Abandoned,January 1922,31,
Daisy,27-Nov-1921,Disabled,San Francisco,Propeller blade lost,January 1922,30,
Monana,27-Nov-1921,Grounded,Gothenburg Harbor,Not Stated,January 1922,31,
Nordhav,27-Nov-1921,Tank Leaking,"St. Johns, Newfoundland",Water in hold,January 1922,31,
Silvanus,27-Nov-1921,Storm,Southeast of Ambrose Channel,Sank,January 1922,31,
Worcester,27-Nov-1921,Ashore,Monmouth Beach,Not Stated,January 1922,31,
Canadian Challenger,28-Nov-1921,Disabled,Halifax,Engine trouble,January 1922,30,
Elinor,28-Nov-1921,"Dragged Anchor, Ashore",Cape Flattery,Not Stated,January 1922,30,
Glengarnock,28-Nov-1921,Disabled,"St. Johns, Newfoundland",Engine trouble,January 1922,30,
Senator,28-Nov-1921,Disabled,At Sea,Piston rod broke,January 1922,31,
Senator,28-Nov-1921,Disabled,At Sea,Broke piston rod,February 1922,83,
Tonesit,28-Nov-1921,Disabled,St. Michaels,Boiler Trouble,January 1922,31,
Albert Stella,29-Nov-1921,Grounded,Majorca,Not Stated,January 1922,30,
Bradford,29-Nov-1921,Ashore,Off Solomon's Island,Not Stated,January 1922,30,
Gresham,29-Nov-1921,Disabled,New  York,Engine trouble,January 1922,30,
Hydrus,29-Nov-1921,Disabled,Milwaukee,Wheel damaged,January 1922,30,
June,29-Nov-1921,Fire,At Sea,Abandoned,January 1922,30,
Koun Maru,29-Nov-1921,Foundered,Off Cape Flattery,Not Stated,January 1922,30,
Medric,29-Nov-1921,Heavy Weather,Maine Coast,Leaking,January 1922,31,
Medric,29-Nov-1921,Gale,Off Nova Scotia,Leaking,February 1922,82,
Nina Lee,29-Nov-1921,Not Stated,At Sea,Total loss,January 1922,31,
Thomas R.  Wooley,29-Nov-1921,Ashore,Off Montauk Point,Maybe total loss,January 1922,31,
Carlos,30-Nov-1921,Storm,At Sea,Lost main rigging,February 1922,82,
Gardiner M. Deering,30-Nov-1921,Disabled,At Sea,Rudder disabled,January 1922,30,
Huftero,30-Nov-1921,Ashore,Zuiderhank Ground,Not Stated,January 1922,30,
Philip Minch,30-Nov-1921,Ashore,East of Detour,Leaking,February 1922,83,
Saikai Maru,30-Nov-1921,Disabled,Off Astoria,Not Stated,January 1922,31,
West Lewark,30-Nov-1921,Grounded,Columbia River,Not Stated,January 1922,31,
Amy B. Silver,1-Dec-1921,Disabled,At Sea,Abandoned,February 1922,82,
Canadian,1-Dec-1921,Disabled,Jacksonville,Crankshaft cracked,January 1922,30,
De Long,1-Dec-1921,Grounded,South of San Francisco Harbor,Not Stated,January 1922,30,
Kinsman,1-Dec-1921,Disabled,At Sea,Water in hold,January 1922,30,
Nictheroy,1-Dec-1921,Disabled,London,Tank leaking,January 1922,31,
North American,1-Dec-1921,Disabled,Jacksonville,Crankshaft cracked,January 1922,31,
Paipoonge,1-Dec-1921,Disabled,Halifax,Machinery trouble,January 1922,31,
Paipoonge,1-Dec-1921,Disabled,Halifax,Engine trouble,February 1922,83,
Repeat,1-Dec-1921,Disabled,Honolulu,Leak and rudder broke,January 1922,31,
Seminole,1-Dec-1921,Disabled,Bermuda,Machinery Defective,January 1922,31,
Simon F. Tolmie,1-Dec-1921,Disabled,Off Neah Bay,Steerer disabled,January 1922,31,
Sunset Glow,1-Dec-1921,Disabled,Trepassey,Rudder damaged,February 1922,83,
